ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c924f--65bbddb1156fa003ebe94fa9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbddb17e61f1055b0f45b6	+	
00028c924f--65bbddc1543cd35382c9dd02	+	
00028c924f--65bbddea543cd35382c9e0be	+	
00028c924f--65bbddf5156fa003ebe95485	+	
00028c924f--65bbde05273ade4c3d9492c3	+	
00028c924f--65bbde1b543cd35382c9e4f4	+	
00028c924f--65bbde1f156fa003ebe957fa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbde22156fa003ebe9587b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbde2b543cd35382c9e5bd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbde6a7e61f1055b0f533a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbde745140ac16b3026e53	+	
00028c924f--65bbde767e61f1055b0f5452	+	
00028c924f--65bbde78543cd35382c9eb29	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbde7a156fa003ebe95ec5	+	
00028c924f--65bbde7c5140ac16b3026f80	+	
00028c924f--65bbde7c5140ac16b3026f82	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbde7f156fa003ebe95f47	+	
00028c924f--65bbde7f7e61f1055b0f5505	+	
00028c924f--65bbde84543cd35382c9ebd9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbde9f543cd35382c9ede6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdea0156fa003ebe96142	+	
00028c924f--65bbdea05140ac16b30271ff	+	
00028c924f--65bbdea6156fa003ebe961dd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdeab273ade4c3d949ec0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdeba5140ac16b30273eb	+	
00028c924f--65bbdec47e61f1055b0f5a7c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdec47e61f1055b0f5a80	+	
00028c924f--65bbdecd156fa003ebe96517	+	
00028c924f--65bbded8543cd35382c9f172	+	
00028c924f--65bbdee5273ade4c3d94a369	+	
00028c924f--65bbdeea273ade4c3d94a402	+	
00028c924f--65bbdef37e61f1055b0f5d67	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdefd156fa003ebe96770	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdefd543cd35382c9f3f3	+	
00028c924f--65bbdf067e61f1055b0f5ef4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdf13273ade4c3d94a763	+	
00028c924f--65bbdf24543cd35382c9f67d	+	
00028c924f--65bbdf3d273ade4c3d94a9e6	+	
00028c924f--65bbdf67156fa003ebe96e5b	+	
00028c924f--65bbdf67543cd35382c9fa32	+	
00028c924f--65bbdf6b7e61f1055b0f660b	+	
00028c924f--65bbdf6f273ade4c3d94ad21	+	
00028c924f--65bbdf71543cd35382c9fac2	+	
00028c924f--65bbdf77273ade4c3d94add8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdf81273ade4c3d94ae64	+	
00028c924f--65bbdf82273ade4c3d94ae6e	+	
00028c924f--65bbdf92156fa003ebe9713f	+	
00028c924f--65bbdf93273ade4c3d94b126	+	
00028c924f--65bbdf96543cd35382c9fd0d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdf9b5140ac16b3028316	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdf9f5140ac16b302836b	+	
00028c924f--65bbdfb15140ac16b3028498	+	
00028c924f--65bbdfb6543cd35382c9fef9	+	
00028c924f--65bbdfc6543cd35382c9ffcc	+	
00028c924f--65bbdfc9273ade4c3d94b539	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdff1156fa003ebe977ce	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbdff85140ac16b3028a35	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe00f7e61f1055b0f713f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe0137e61f1055b0f718e	+	
00028c924f--65bbe01a7e61f1055b0f7220	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe01c273ade4c3d94bb8b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe02a5140ac16b3028d35	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe030156fa003ebe97c69	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe0367e61f1055b0f73ed	+	
00028c924f--65bbe04a156fa003ebe97e58	+	
00028c924f--65bbe04d5140ac16b3028fb0	+	
00028c924f--65bbe0645140ac16b302915b	+	
00028c924f--65bbe067156fa003ebe9801d	+	
00028c924f--65bbe07c543cd35382ca0c00	+	
00028c924f--65bbe08d156fa003ebe982ec	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe08e5140ac16b30294c7	+	
00028c924f--65bbe0967e61f1055b0f7c05	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe0b0156fa003ebe98561	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe0b1543cd35382ca0f9c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe0b7273ade4c3d94c7a0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe0b7273ade4c3d94c7a5	+	
00028c924f--65bbe0cf543cd35382ca120a	+	
00028c924f--65bbe0d5156fa003ebe988ca	+	
00028c924f--65bbe0e3156fa003ebe989ed	+	
00028c924f--65bbe0e8543cd35382ca1425	+	
00028c924f--65bbe0f35140ac16b3029c30	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe0f5156fa003ebe98b62	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe0fe273ade4c3d94cc95	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe10d273ade4c3d94ce34	+	
00028c924f--65bbe120273ade4c3d94cf83	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe121273ade4c3d94cf90	+	
00028c924f--65bbe124156fa003ebe98fb8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe1247e61f1055b0f87e1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe1265140ac16b302a148	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe131156fa003ebe9906a	+	
00028c924f--65bbe133543cd35382ca197c	+	
00028c924f--65bbe137156fa003ebe990c9	+	
00028c924f--65bbe137543cd35382ca19c5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe1387e61f1055b0f8937	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe1457e61f1055b0f8a04	+	
00028c924f--65bbe154156fa003ebe99298	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe157156fa003ebe992be	+	
00028c924f--65bbe16f156fa003ebe99474	+	
00028c924f--65bbe179273ade4c3d94d6fb	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe17b543cd35382ca1eba	+	
00028c924f--65bbe17e156fa003ebe99598	+	
00028c924f--65bbe17e5140ac16b302a820	+	
00028c924f--65bbe17f543cd35382ca1f2f	+	
00028c924f--65bbe184156fa003ebe99623	+	
00028c924f--65bbe185543cd35382ca1fe9	+	
00028c924f--65bbe18c7e61f1055b0f9139	+	
00028c924f--65bbe18f156fa003ebe99723	+	
00028c924f--65bbe19a543cd35382ca21f3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe19d7e61f1055b0f9334	+	
00028c924f--65bbe1d4273ade4c3d94e013	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924f--65bbe1d4543cd35382ca2632	+	
