ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9233--65bbe9635140ac16b30358cd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbe96f273ade4c3d958648	+	
00028c9233--65bbe982273ade4c3d9587e7	+	
00028c9233--65bbe987273ade4c3d958815	+	
00028c9233--65bbe9875140ac16b3035bb3	+	
00028c9233--65bbe98a156fa003ebea44cc	+	
00028c9233--65bbe98b7e61f1055b103bac	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbe9a0273ade4c3d958a1b	+	
00028c9233--65bbe9a4543cd35382cacc4e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbe9ad273ade4c3d958b16	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbe9c1273ade4c3d958d00	+	
00028c9233--65bbe9c97e61f1055b1040fe	+	
00028c9233--65bbe9d07e61f1055b1041a2	+	
00028c9233--65bbe9e9543cd35382cad104	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbea185140ac16b3036678	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbea1d273ade4c3d9593db	+	
00028c9233--65bbea207e61f1055b104813	+	
00028c9233--65bbea2e5140ac16b30367b3	+	
00028c9233--65bbea35156fa003ebea515f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbea39156fa003ebea5185	+	
00028c9233--65bbea4c543cd35382cad814	+	
00028c9233--65bbea5d5140ac16b3036a9e	+	
00028c9233--65bbea6a5140ac16b3036b8d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbeaa7156fa003ebea58d5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbeaea543cd35382cae3ae	+	
00028c9233--65bbeaed7e61f1055b1056b5	+	
00028c9233--65bbeaf6543cd35382cae4b7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbeafa543cd35382cae4de	+	
00028c9233--65bbeaff543cd35382cae4fe	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbeb00156fa003ebea5f6b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbeb165140ac16b3037843	+	
00028c9233--65bbeb185140ac16b3037864	+	
00028c9233--65bbeb26543cd35382cae725	+	
00028c9233--65bbeb2f7e61f1055b105af9	+	
00028c9233--65bbeb30543cd35382cae7ed	+	
00028c9233--65bbeb3b7e61f1055b105c15	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbeb4d5140ac16b3037c45	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbeb66543cd35382caebae	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9233--65bbeba65140ac16b303835f	+	
00028c9233--65bbeba85140ac16b3038372	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
