ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028bf07c--65a93d596cb4847cffb97c93	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93d5d6cb4847cffb97d2d	+	
00028bf07c--65a93d5e82c710292cedaf37	+	
00028bf07c--65a93d716cb4847cffb97ee9	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93d7ba5bf2c28ff1424e6	+	
00028bf07c--65a93d7e3c8c5b7eec969d0a	+	
00028bf07c--65a93d7e82c710292cedb1ac	+	
00028bf07c--65a93d81a5bf2c28ff1425ad	+	
00028bf07c--65a93d876cb4847cffb9870f	+	
00028bf07c--65a93d8a4910f66c47a7e392	+	
00028bf07c--65a93d8c3c8c5b7eec969e3d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93d8ca5bf2c28ff1426bc	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93d904910f66c47a7e45a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93d918fef00738f1c5765	+	
00028bf07c--65a93d956cb4847cffb98ae8	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93d966cb4847cffb98aec	+	
00028bf07c--65a93d9682c710292cedb3ac	+	
00028bf07c--65a93d9b3c8c5b7eec969f35	+	
00028bf07c--65a93d9b4910f66c47a7e52c	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93d9ea5bf2c28ff142845	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93da7a5bf2c28ff142960	+	
00028bf07c--65a93daca5bf2c28ff1429df	+	
00028bf07c--65a93db34910f66c47a7e7b8	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93db3a5bf2c28ff142a7b	+	
00028bf07c--65a93db56cb4847cffb98f6e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93dbc3c8c5b7eec96a30f	+	
00028bf07c--65a93dc26cb4847cffb99140	+	
00028bf07c--65a93dde3c8c5b7eec96a6d4	+	
00028bf07c--65a93de64910f66c47a7f450	+	
00028bf07c--65a93deb6cb4847cffb9972b	+	
00028bf07c--65a93def8fef00738f1c6331	+	
00028bf07c--65a93df2a5bf2c28ff14324e	+	
00028bf07c--65a93df43c8c5b7eec96a95f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07c--65a93df5a5bf2c28ff1432a0	+	
00028bf07c--65a93e066cb4847cffb99b52	+	
