ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028b9bf9--659fb1358dfe8b62f2705e7f	+	
00028b9bf9--659fb14a7cff5e71c50d35eb	+	
00028b9bf9--659fb1598db9654e90174749	+	
00028b9bf9--659fb167b062d60448a26696	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb16f8dfe8b62f270695f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb17714c7c70ebc07c063	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb1918dfe8b62f2706f82	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb1918dfe8b62f2706f85	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb1a2b062d60448a27451	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb1a4b062d60448a274c1	+	
00028b9bf9--659fb1a68db9654e90175869	+	
00028b9bf9--659fb1a88dfe8b62f270759e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb1ae8db9654e90175ac1	+	
00028b9bf9--659fb1be14c7c70ebc07d1a0	+	
00028b9bf9--659fb1c7b062d60448a27eb5	+	
00028b9bf9--659fb1d5b062d60448a28204	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb1dd14c7c70ebc07d8de	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb1f88db9654e90176e44	+	
00028b9bf9--659fb21914c7c70ebc07e7a5	+	
00028b9bf9--659fb2218db9654e90177900	+	
00028b9bf9--659fb2248dfe8b62f2709698	+	
00028b9bf9--659fb23714c7c70ebc07ef12	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb2388dfe8b62f2709c81	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb2538dfe8b62f270a326	+	
00028b9bf9--659fb26914c7c70ebc07fbaa	+	
00028b9bf9--659fb26f8dfe8b62f270aa2a	+	
00028b9bf9--659fb27114c7c70ebc07fd4d	+	
00028b9bf9--659fb27814c7c70ebc07ff0c	+	
00028b9bf9--659fb2788db9654e90178e5a	+	
00028b9bf9--659fb286b062d60448a2adbc	+	
00028b9bf9--659fb28e8db9654e90179405	+	
00028b9bf9--659fb2907cff5e71c50d8304	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb29e8dfe8b62f270b6d9	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb2a28db9654e90179a32	+	
00028b9bf9--659fb2b414c7c70ebc080e33	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb2d38dfe8b62f270c209	+	
00028b9bf9--659fb2d48dfe8b62f270c255	+	
00028b9bf9--659fb2d58db9654e9017a540	+	
00028b9bf9--659fb2d88db9654e9017a60c	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb2e78dfe8b62f270c605	+	
00028b9bf9--659fb2e7b062d60448a2c69b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb2ed8dfe8b62f270c74b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf9--659fb2f48dfe8b62f270c8b6	+	
00028b9bf9--659fb2f88db9654e9017adbe	+	
