ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9211--65bbd828543cd35382c9681d	+	
00028c9211--65bbd831156fa003ebe8dee4	+	
00028c9211--65bbd83e543cd35382c969c1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd8417e61f1055b0ed1d0	+	
00028c9211--65bbd8455140ac16b301e755	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd84d156fa003ebe8e06d	+	
00028c9211--65bbd8537e61f1055b0ed39a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd8545140ac16b301e8a4	+	
00028c9211--65bbd8557e61f1055b0ed3b8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd858156fa003ebe8e1b9	+	
00028c9211--65bbd8595140ac16b301e8e5	+	
00028c9211--65bbd85f156fa003ebe8e1f2	+	
00028c9211--65bbd8607e61f1055b0ed4c4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd864543cd35382c96d07	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd868273ade4c3d941aef	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd869273ade4c3d941b02	+	
00028c9211--65bbd8747e61f1055b0ed6bd	+	
00028c9211--65bbd8765140ac16b301eb77	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd87d5140ac16b301ec15	+	
00028c9211--65bbd87d7e61f1055b0ed741	+	
00028c9211--65bbd89c156fa003ebe8e658	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd89e273ade4c3d941f16	+	
00028c9211--65bbd8a05140ac16b301eee4	+	
00028c9211--65bbd8a1543cd35382c97140	+	
00028c9211--65bbd8ab273ade4c3d942047	+	
00028c9211--65bbd8b1543cd35382c972c2	+	
00028c9211--65bbd8b47e61f1055b0edb21	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd8b55140ac16b301f096	+	
00028c9211--65bbd8b65140ac16b301f0a9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd8b67e61f1055b0edb30	+	
00028c9211--65bbd8b95140ac16b301f0d2	+	
00028c9211--65bbd8c97e61f1055b0edcc7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd8d25140ac16b301f2d0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9211--65bbd8d75140ac16b301f32f	+	
