ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9257--65bbf296543cd35382cb7b33	+	
00028c9257--65bbf2b1543cd35382cb7d07	+	
00028c9257--65bbf2b6156fa003ebeaf43b	+	
00028c9257--65bbf2bc5140ac16b3041119	+	
00028c9257--65bbf2c77e61f1055b10f310	+	
00028c9257--65bbf2ca156fa003ebeaf599	+	
00028c9257--65bbf2cd156fa003ebeaf5e7	+	
00028c9257--65bbf2e27e61f1055b10f465	+	
00028c9257--65bbf2e65140ac16b304145f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf2e9273ade4c3d964254	+	
00028c9257--65bbf2ed543cd35382cb81af	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf2f8273ade4c3d964365	+	
00028c9257--65bbf3125140ac16b3041710	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf314543cd35382cb83ed	+	
00028c9257--65bbf3377e61f1055b10fa2c	+	
00028c9257--65bbf33b543cd35382cb8605	+	
00028c9257--65bbf33e5140ac16b3041a9b	+	
00028c9257--65bbf342543cd35382cb86dc	+	
00028c9257--65bbf342543cd35382cb86e6	+	
00028c9257--65bbf386543cd35382cb8b88	+	
00028c9257--65bbf3a4156fa003ebeb0456	+	
00028c9257--65bbf3b77e61f1055b110218	+	
00028c9257--65bbf3c5156fa003ebeb0660	+	
00028c9257--65bbf3d7156fa003ebeb07bd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf3e3273ade4c3d965559	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf3eb5140ac16b3042675	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf3f7156fa003ebeb09a6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf406156fa003ebeb0ac0	+	
00028c9257--65bbf444156fa003ebeb0ed6	+	
00028c9257--65bbf4f57e61f1055b111a0d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf4fd5140ac16b3043c82	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf513543cd35382cba9d6	+	
00028c9257--65bbf514273ade4c3d9675a5	+	
00028c9257--65bbf5157e61f1055b111c29	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf5207e61f1055b111cec	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf5215140ac16b3043f1d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf521543cd35382cbab05	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf5225140ac16b3043f3a	+	
00028c9257--65bbf532156fa003ebeb2284	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf536273ade4c3d967826	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf55e5140ac16b30443a0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9257--65bbf562156fa003ebeb2677	+	
00028c9257--65bbf565156fa003ebeb26c9	+	
00028c9257--65bbf569273ade4c3d967bee	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
