ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c924b--65bbd71b543cd35382c9547f	+	
00028c924b--65bbd946543cd35382c97e4b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd964156fa003ebe8f70f	+	
00028c924b--65bbd968273ade4c3d942f19	+	
00028c924b--65bbd96b5140ac16b301ffd6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd9717e61f1055b0eeb5d	+	
00028c924b--65bbd976273ade4c3d94305d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd9807e61f1055b0eecb9	+	
00028c924b--65bbd9835140ac16b3020216	+	
00028c924b--65bbd98f273ade4c3d9431e4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd992156fa003ebe8fa93	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd99a5140ac16b302048a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd99e273ade4c3d9432f1	+	
00028c924b--65bbd9b2543cd35382c987b9	+	
00028c924b--65bbd9b75140ac16b30206c0	+	
00028c924b--65bbd9b8273ade4c3d94351a	+	
00028c924b--65bbd9b85140ac16b3020737	+	
00028c924b--65bbd9bc156fa003ebe8fd3b	+	
00028c924b--65bbd9bd273ade4c3d943581	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd9c3156fa003ebe8fddb	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd9c65140ac16b302080d	+	
00028c924b--65bbd9c9273ade4c3d94367c	+	
00028c924b--65bbd9ca543cd35382c98a39	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c924b--65bbd9cc543cd35382c98a67	+	
