ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c2f7e--65b0e214b7b7c642134343fa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e23f753d7e7cfc34ff84	+	
00028c2f7e--65b0e242f0884d28d17633a4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e2516ee6ba6cf9630df7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e25cf0884d28d1763608	+	
00028c2f7e--65b0e26cee2612733d6d0f0e	+	
00028c2f7e--65b0e274753d7e7cfc350620	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e29d6ee6ba6cf96316c2	+	
00028c2f7e--65b0e29ef0884d28d1763eb3	+	
00028c2f7e--65b0e2c0acc1b67a2f76fe39	+	
00028c2f7e--65b0e2c1753d7e7cfc350e89	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e2d8753d7e7cfc35118b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e2d96ee6ba6cf9631dba	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e2e2b7b7c64213435cb2	+	
00028c2f7e--65b0e2e2f0884d28d17646ad	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e2e86ee6ba6cf9631f6e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e2f5ee2612733d6d1fbe	+	
00028c2f7e--65b0e304ee2612733d6d2161	+	
00028c2f7e--65b0e30b6ee6ba6cf963237d	+	
00028c2f7e--65b0e30db7b7c642134361d3	+	
00028c2f7e--65b0e30df0884d28d1764bbc	+	
00028c2f7e--65b0e30ff0884d28d1764c1a	+	
00028c2f7e--65b0e32eacc1b67a2f770cbb	+	
00028c2f7e--65b0e345ee2612733d6d28c7	+	
00028c2f7e--65b0e345f0884d28d1765238	+	
00028c2f7e--65b0e355b7b7c64213436a78	+	
00028c2f7e--65b0e379f0884d28d1765847	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e3a86ee6ba6cf9633673	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e3a9753d7e7cfc352c75	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e3a9f0884d28d1765cca	+	
00028c2f7e--65b0e3c3b7b7c6421343776c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e3d8753d7e7cfc35326c	+	
00028c2f7e--65b0e3d9acc1b67a2f7720c4	+	
00028c2f7e--65b0e3f06ee6ba6cf9633f53	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e3f7acc1b67a2f772486	+	
00028c2f7e--65b0e40c753d7e7cfc353870	+	
00028c2f7e--65b0e42cacc1b67a2f7729c2	+	
00028c2f7e--65b0e43af0884d28d1766c75	+	
00028c2f7e--65b0e441acc1b67a2f772b8e	+	
00028c2f7e--65b0e444ee2612733d6d466a	+	
00028c2f7e--65b0e445b7b7c642134387e6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e447ee2612733d6d46c0	+	
00028c2f7e--65b0e44bacc1b67a2f772c49	+	
00028c2f7e--65b0e455f0884d28d1766f2d	+	
00028c2f7e--65b0e475acc1b67a2f7730f7	+	
00028c2f7e--65b0e4a3acc1b67a2f773672	+	
00028c2f7e--65b0e4adee2612733d6d5196	+	
00028c2f7e--65b0e4be6ee6ba6cf96356f2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e4c6f0884d28d1767c9d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e4cbf0884d28d1767d2e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e4e2ee2612733d6d57f6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e4f06ee6ba6cf9635e9a	+	
00028c2f7e--65b0e4f8acc1b67a2f7740dd	+	
00028c2f7e--65b0e5056ee6ba6cf96361ac	+	
00028c2f7e--65b0e517b7b7c6421343a1e9	+	
00028c2f7e--65b0e521f0884d28d17686a1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f7e--65b0e52e6ee6ba6cf963672f	+	
00028c2f7e--65b0e548ee2612733d6d637d	+	
