INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/CHkwKTs/2862691446-286040-paludosa-hard-corr.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	1a75daff-692f-4dd7-84cc-5603c5aa14f3	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/VNJgtBg/2274829523-41010-paludosa-hard-corr.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	45c30d4c-f5ca-423a-9d85-c90f84cfb31f	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/FVKgFyX/2238178273-8903-paludosa-hard-corr.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	e87f4e8a-0710-4de9-accb-f1ec510d8d0d	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/4ZLQnz5/2238575020-184894-paludosa-easy.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	a1da79da-6840-4022-9cf3-b931b78d1e7f	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/xhqPZ6n/2238502122-320695-emetica-easy.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	a307b35b-95a7-4357-bee7-1f69bed9af34	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/H26zB1w/2238503229-97378-paludosa-easy.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	c48e75e0-c0cf-477c-ad99-055367f2be32	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/FHw1VQ5/2427874875-195990-emetica-hard-corr.jpg	paludosa	"""paludosa"""	emetica				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	bfb47109-a09d-4661-bb1e-13100e293322	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/2h1p6GD/2421822955-193501-emetica-easy.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	7b1a476d-303d-4db7-aa89-37a5f68b9838	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/FY4fcG7/2238562101-256323-rosea-easy.jpg	paludosa	"""paludosa"""	rosea				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	e3f5dd86-baf8-49bf-bbcf-20e588951f54	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
https://i.ibb.co/ngSGTfh/2883264346-290566-paludosa-hard-corr.jpg	rosea	"""rosea"""	paludosa				https://platform.toloka.ai/task/42725500/00028bf07c--65a93d596cb4847cffb97c93	5396a563-e4c9-428b-ae95-93d4c6429449	00028bf07c--65a93d596cb4847cffb97c93	0b66b4aa15247cdcb2dc9cdfacb89423	SUBMITTED	2024-01-18T15:01:45.400		
