ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028b9be2--659fb13a7cff5e71c50d340f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb14d8dfe8b62f2706297	+	
00028b9be2--659fb15cb062d60448a26428	+	
00028b9be2--659fb15f8db9654e9017484c	+	
00028b9be2--659fb160b062d60448a2650d	+	
00028b9be2--659fb178b062d60448a26a49	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb17db062d60448a26b1b	+	
00028b9be2--659fb199b062d60448a271a0	+	
00028b9be2--659fb1a314c7c70ebc07caad	+	
00028b9be2--659fb1a914c7c70ebc07cba2	+	
00028b9be2--659fb1afb062d60448a27821	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb1c514c7c70ebc07d324	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb1c714c7c70ebc07d358	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb1cb7cff5e71c50d530f	+	
00028b9be2--659fb1de8db9654e90176712	+	
00028b9be2--659fb1e17cff5e71c50d5851	+	
00028b9be2--659fb1f98db9654e90176e73	+	
00028b9be2--659fb2178db9654e901776d1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb2318dfe8b62f2709ac9	+	
00028b9be2--659fb2377cff5e71c50d6c93	+	
00028b9be2--659fb2398dfe8b62f2709c9e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb23bb062d60448a29af6	+	
00028b9be2--659fb23f8dfe8b62f2709e45	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb242b062d60448a29cd8	+	
00028b9be2--659fb2488db9654e9017828d	+	
00028b9be2--659fb24f8db9654e90178407	+	
00028b9be2--659fb265b062d60448a2a60a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb27814c7c70ebc07fefd	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb27c8db9654e90178fa1	+	
00028b9be2--659fb27f14c7c70ebc08001f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb28d7cff5e71c50d824d	+	
00028b9be2--659fb29114c7c70ebc080517	+	
00028b9be2--659fb2a914c7c70ebc080a86	+	
00028b9be2--659fb2b68dfe8b62f270bc35	+	
00028b9be2--659fb2ba14c7c70ebc080f81	+	
00028b9be2--659fb2bdb062d60448a2bc57	+	
00028b9be2--659fb2c18db9654e9017a08b	+	
00028b9be2--659fb2d6b062d60448a2c273	+	
00028b9be2--659fb2db8db9654e9017a6de	+	
00028b9be2--659fb2ddb062d60448a2c42b	+	
00028b9be2--659fb2df14c7c70ebc081912	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb2e17cff5e71c50d970a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb2ea14c7c70ebc081bc6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb2ed8dfe8b62f270c742	+	
00028b9be2--659fb2ef14c7c70ebc081d3d	+	
00028b9be2--659fb2f214c7c70ebc081d8a	+	
00028b9be2--659fb2f48db9654e9017ad21	+	
00028b9be2--659fb3008db9654e9017af94	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb315b062d60448a2cfe0	+	
00028b9be2--659fb31e7cff5e71c50da470	+	
00028b9be2--659fb32814c7c70ebc082866	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3348dfe8b62f270d599	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3397cff5e71c50da861	+	
00028b9be2--659fb33e14c7c70ebc082d3d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb34114c7c70ebc082da6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb343b062d60448a2d886	+	
00028b9be2--659fb34f14c7c70ebc083035	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb35414c7c70ebc0830df	+	
00028b9be2--659fb362b062d60448a2ddfe	+	
00028b9be2--659fb3717cff5e71c50db2b7	+	
00028b9be2--659fb3728db9654e9017c591	+	
00028b9be2--659fb3728dfe8b62f270e02f	+	
00028b9be2--659fb3817cff5e71c50db51e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3828dfe8b62f270e2f1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb383b062d60448a2e34c	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb39014c7c70ebc083acf	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3957cff5e71c50db768	+	
00028b9be2--659fb39c7cff5e71c50db87f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3ae7cff5e71c50dbb5f	+	
00028b9be2--659fb3b1b062d60448a2ea08	+	
00028b9be2--659fb3b214c7c70ebc08415a	+	
00028b9be2--659fb3c08db9654e9017d3a5	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3c28dfe8b62f270ee98	+	
00028b9be2--659fb3cb14c7c70ebc08456e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3cd7cff5e71c50dbf76	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3cfb062d60448a2effd	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb3d37cff5e71c50dc0a2	+	
00028b9be2--659fb3dc8db9654e9017d76a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb41114c7c70ebc0850f9	+	
00028b9be2--659fb4188db9654e9017e21a	+	
00028b9be2--659fb4188dfe8b62f270fd32	+	
00028b9be2--659fb4258db9654e9017e460	+	
00028b9be2--659fb4598dfe8b62f2710846	+	
00028b9be2--659fb465b062d60448a308c5	+	
00028b9be2--659fb4667cff5e71c50dd82d	+	
00028b9be2--659fb4998db9654e9017f71f	+	
00028b9be2--659fb49ab062d60448a310fe	+	
00028b9be2--659fb4ce7cff5e71c50de879	+	
00028b9be2--659fb50eb062d60448a32355	+	
00028b9be2--659fb53fb062d60448a32b7e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb5937cff5e71c50e08da	+	
00028b9be2--659fb59d8db9654e901824c8	+	
00028b9be2--659fb5af7cff5e71c50e0d52	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb5b514c7c70ebc089594	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb5c8b062d60448a3431c	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb6067cff5e71c50e1a7e	+	
00028b9be2--659fb6b48dfe8b62f27181eb	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb7567cff5e71c50e4fee	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb8948db9654e9018a7c8	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9be2--659fb9258dfe8b62f271ef62	+	
