ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c922c--65bbd8317e61f1055b0ed0c7	+	
00028c922c--65bbd840273ade4c3d9416ce	+	
00028c922c--65bbd846156fa003ebe8dffc	+	
00028c922c--65bbd962156fa003ebe8f6f0	+	
00028c922c--65bbe039156fa003ebe97d28	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c922c--65bbe1b35140ac16b302acd3	+	
00028c922c--65bbe1b6273ade4c3d94dd60	+	
00028c922c--65bbe1b67e61f1055b0f951b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c922c--65bbe1dd156fa003ebe99e64	+	
00028c922c--65bbe1e2156fa003ebe99eb0	+	
00028c922c--65bbe1ed7e61f1055b0f98e6	+	
00028c922c--65bbe2047e61f1055b0f9ab7	+	
00028c922c--65bbe207156fa003ebe9a16c	+	
00028c922c--65bbe21e543cd35382ca2b91	+	
00028c922c--65bbe225273ade4c3d94e77d	+	
00028c922c--65bbe2265140ac16b302b6a2	+	
00028c922c--65bbe229156fa003ebe9a3fe	+	
00028c922c--65bbe242543cd35382ca2e80	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c922c--65bbe246273ade4c3d94ea48	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c922c--65bbe2497e61f1055b0fa082	+	
00028c922c--65bbe2555140ac16b302baf6	+	
00028c922c--65bbe257273ade4c3d94eb80	+	
00028c922c--65bbe25c5140ac16b302bb9e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c922c--65bbe25d7e61f1055b0fa209	+	
00028c922c--65bbe264273ade4c3d94ec94	+	
00028c922c--65bbe266156fa003ebe9a956	+	
00028c922c--65bbe266273ade4c3d94ecb9	+	
00028c922c--65bbe285273ade4c3d94ef3a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c922c--65bbe2c6273ade4c3d94f4c5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c922c--65bbe2c77e61f1055b0fabce	+	
00028c922c--65bbe2dd543cd35382ca3c81	+	
00028c922c--65bbe2e87e61f1055b0fae4c	+	
00028c922c--65bbe2ee273ade4c3d94f830	+	
00028c922c--65bbe2f77e61f1055b0faf8a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c922c--65bbe2fa156fa003ebe9b609	+	
00028c922c--65bbe2fc7e61f1055b0faffa	+	
00028c922c--65bbe3005140ac16b302cc0b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
