ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028bf076--65a93d463c8c5b7eec9697ff	+	
00028bf076--65a93d466cb4847cffb97b69	+	
00028bf076--65a93d5182c710292cedae8b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93d548fef00738f1c5133	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93d5a3c8c5b7eec969981	+	
00028bf076--65a93d5b8fef00738f1c5234	+	
00028bf076--65a93d5f4910f66c47a7c972	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93d6482c710292cedafd8	+	
00028bf076--65a93d683c8c5b7eec969afd	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93d686cb4847cffb97e1a	+	
00028bf076--65a93d74a5bf2c28ff14246f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93d7f3c8c5b7eec969d11	+	
00028bf076--65a93d8b3c8c5b7eec969e1a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93d958fef00738f1c577e	+	
00028bf076--65a93db982c710292cedb7d5	+	
00028bf076--65a93dbc8fef00738f1c5c20	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93dd182c710292cedbaa0	+	
00028bf076--65a93ddea5bf2c28ff142fe1	+	
00028bf076--65a93de14910f66c47a7f398	+	
00028bf076--65a93de282c710292cedbd66	+	
00028bf076--65a93de68fef00738f1c61d1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93df5a5bf2c28ff14327d	+	
00028bf076--65a93e006cb4847cffb99a85	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e008fef00738f1c654b	+	
00028bf076--65a93e03a5bf2c28ff143400	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e053c8c5b7eec96ab7b	+	
00028bf076--65a93e0682c710292cedc23f	+	
00028bf076--65a93e0c82c710292cedc2f1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e0c8fef00738f1c66a5	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e0e4910f66c47a7f9a3	+	
00028bf076--65a93e0e82c710292cedc34c	+	
00028bf076--65a93e1082c710292cedc353	+	
00028bf076--65a93e163c8c5b7eec96ad03	+	
00028bf076--65a93e1682c710292cedc3c8	+	
00028bf076--65a93e194910f66c47a7fadf	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e1f4910f66c47a7fb81	+	
00028bf076--65a93e303c8c5b7eec96b017	+	
00028bf076--65a93e334910f66c47a7fd2a	+	
00028bf076--65a93e358fef00738f1c6ad3	+	
00028bf076--65a93e403c8c5b7eec96b21f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e453c8c5b7eec96b2c8	+	
00028bf076--65a93e483c8c5b7eec96b310	+	
00028bf076--65a93e4c4910f66c47a7ffae	+	
00028bf076--65a93e4e8fef00738f1c6d67	+	
00028bf076--65a93e4fa5bf2c28ff143c6a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e50a5bf2c28ff143c8c	+	
00028bf076--65a93e52a5bf2c28ff143cb3	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e54a5bf2c28ff143cf4	+	
00028bf076--65a93e588fef00738f1c6e08	+	
00028bf076--65a93e5b3c8c5b7eec96b68f	+	
00028bf076--65a93e5b6cb4847cffb9a3ec	+	
00028bf076--65a93e5f3c8c5b7eec96b6c8	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf076--65a93e6a4910f66c47a802f1	+	
00028bf076--65a93e6ba5bf2c28ff143ecc	+	
00028bf076--65a93e6c82c710292cedcbf6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
