ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028bf07f--65a93d5d82c710292cedaf31	+	
00028bf07f--65a93d6282c710292cedaf84	+	
00028bf07f--65a93d6ca5bf2c28ff1423d2	+	
00028bf07f--65a93d6ca5bf2c28ff1423d4	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d6d3c8c5b7eec969b58	+	
00028bf07f--65a93d6f4910f66c47a7dd92	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d6f8fef00738f1c5407	+	
00028bf07f--65a93d79a5bf2c28ff1424b8	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d7b4910f66c47a7e1ee	+	
00028bf07f--65a93d7b4910f66c47a7e1f5	+	
00028bf07f--65a93d846cb4847cffb98235	+	
00028bf07f--65a93d876cb4847cffb98709	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d883c8c5b7eec969db0	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d8c82c710292cedb2db	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d8da5bf2c28ff1426ca	+	
00028bf07f--65a93d924910f66c47a7e48d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d933c8c5b7eec969ec1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d946cb4847cffb98aad	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93d9a8fef00738f1c57ff	+	
00028bf07f--65a93da2a5bf2c28ff1428dc	+	
00028bf07f--65a93da54910f66c47a7e681	+	
00028bf07f--65a93db06cb4847cffb98e7e	+	
00028bf07f--65a93dd882c710292cedbb67	+	
00028bf07f--65a93de582c710292cedbdf8	+	
00028bf07f--65a93de58fef00738f1c61c7	+	
00028bf07f--65a93de9a5bf2c28ff143136	+	
00028bf07f--65a93deca5bf2c28ff1431bb	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93ded3c8c5b7eec96a8a3	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93df582c710292cedc083	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e068fef00738f1c65bf	+	
00028bf07f--65a93e09a5bf2c28ff143502	+	
00028bf07f--65a93e0b3c8c5b7eec96ac26	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e0f3c8c5b7eec96ac7b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e104910f66c47a7f9cd	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e1182c710292cedc372	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e174910f66c47a7fa56	+	
00028bf07f--65a93e188fef00738f1c67cd	+	
00028bf07f--65a93e24a5bf2c28ff14381b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e2e82c710292cedc5f7	+	
00028bf07f--65a93e3182c710292cedc672	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e338fef00738f1c6aad	+	
00028bf07f--65a93e3682c710292cedc70a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e3a4910f66c47a7fdb0	+	
00028bf07f--65a93e3f3c8c5b7eec96b1e2	+	
00028bf07f--65a93e4582c710292cedc844	+	
00028bf07f--65a93e4c82c710292cedc8c7	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e5082c710292cedc905	+	
00028bf07f--65a93e526cb4847cffb9a35d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e594910f66c47a800ff	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e5d82c710292cedcb02	+	
00028bf07f--65a93e5fa5bf2c28ff143e25	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e624910f66c47a801b0	+	
00028bf07f--65a93e6b3c8c5b7eec96b7ca	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e704910f66c47a80384	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e723c8c5b7eec96b883	+	
00028bf07f--65a93e764910f66c47a803eb	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e766cb4847cffb9a6d9	+	
00028bf07f--65a93e7a3c8c5b7eec96b8d3	+	
00028bf07f--65a93e7a82c710292cedcc94	+	
00028bf07f--65a93e7f82c710292cedcd0c	+	
00028bf07f--65a93e924910f66c47a806fb	+	
00028bf07f--65a93e946cb4847cffb9a94e	+	
00028bf07f--65a93e963c8c5b7eec96bbf4	+	
00028bf07f--65a93e9aa5bf2c28ff1442e4	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93e9b6cb4847cffb9a9d6	+	
00028bf07f--65a93ed84910f66c47a80d9d	+	
00028bf07f--65a93ede8fef00738f1c79aa	+	
00028bf07f--65a93ef06cb4847cffb9b193	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93f2a6cb4847cffb9b590	+	
00028bf07f--65a93fa082c710292cee0d24	+	
00028bf07f--65a93fab6cb4847cffb9c979	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a93fe13c8c5b7eec96d635	+	
00028bf07f--65a93fea3c8c5b7eec96d6e2	+	
00028bf07f--65a93ff96cb4847cffb9cff5	+	
00028bf07f--65a94020a5bf2c28ff1462b6	+	
00028bf07f--65a9402e6cb4847cffb9d525	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a9403c8fef00738f1c9439	+	
00028bf07f--65a9404da5bf2c28ff1465f5	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a9405882c710292cee1eab	+	
00028bf07f--65a940663c8c5b7eec96e22d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a9406da5bf2c28ff146995	+	
00028bf07f--65a9406f8fef00738f1c98f4	+	
00028bf07f--65a9407ca5bf2c28ff146a87	+	
00028bf07f--65a940898fef00738f1c9b0f	+	
00028bf07f--65a9408c82c710292cee22ae	+	
00028bf07f--65a940a43c8c5b7eec96e86f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a940a46cb4847cffb9de63	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a940a58fef00738f1c9e5a	+	
00028bf07f--65a940ad4910f66c47a83770	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a940b64910f66c47a838ad	+	
00028bf07f--65a940d34910f66c47a83b6b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a940d3a5bf2c28ff1471c4	+	
00028bf07f--65a9410ca5bf2c28ff1476aa	+	
00028bf07f--65a941123c8c5b7eec96f13d	+	
00028bf07f--65a942063c8c5b7eec970413	+	
00028bf07f--65a9423f8fef00738f1cbe2e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a942b982c710292cee5331	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028bf07f--65a94333a5bf2c28ff14a32b	+	
00028bf07f--65a944293c8c5b7eec973266	+	
00028bf07f--65a945928fef00738f1d04ab	+	
