ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c2f0e--65b0e233ee2612733d6d08c3	+	
00028c2f0e--65b0e242753d7e7cfc34ffa2	+	
00028c2f0e--65b0e24dacc1b67a2f76effa	+	
00028c2f0e--65b0e25fee2612733d6d0d73	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e260ee2612733d6d0d8d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e26d753d7e7cfc3504ec	+	
00028c2f0e--65b0e286ee2612733d6d1235	+	
00028c2f0e--65b0e28eb7b7c642134352c7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e297acc1b67a2f76f930	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e2aaee2612733d6d17ae	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e2beb7b7c64213435881	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e2bef0884d28d176423b	+	
00028c2f0e--65b0e2c66ee6ba6cf9631b7f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e2c6acc1b67a2f76ff78	+	
00028c2f0e--65b0e2c8f0884d28d17643a5	+	
00028c2f0e--65b0e2ccacc1b67a2f7700b2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e2d2b7b7c64213435a9d	+	
00028c2f0e--65b0e2d7f0884d28d1764578	+	
00028c2f0e--65b0e2f1b7b7c64213435e09	+	
00028c2f0e--65b0e2f5acc1b67a2f7704f3	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e30b753d7e7cfc3517b0	+	
00028c2f0e--65b0e30bacc1b67a2f770760	+	
00028c2f0e--65b0e30d6ee6ba6cf96323b3	+	
00028c2f0e--65b0e31d6ee6ba6cf96325ca	+	
00028c2f0e--65b0e31eacc1b67a2f770a6b	+	
00028c2f0e--65b0e340ee2612733d6d285e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e349ee2612733d6d2999	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e351f0884d28d17653d2	+	
00028c2f0e--65b0e35df0884d28d1765562	+	
00028c2f0e--65b0e36eee2612733d6d2cc1	+	
00028c2f0e--65b0e382acc1b67a2f771615	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e3906ee6ba6cf9633422	+	
00028c2f0e--65b0e3926ee6ba6cf9633441	+	
00028c2f0e--65b0e397acc1b67a2f771928	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e3f0f0884d28d17664e6	+	
00028c2f0e--65b0e3f8ee2612733d6d3e3e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e40bacc1b67a2f772695	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e4266ee6ba6cf9634575	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e437f0884d28d1766c21	+	
00028c2f0e--65b0e45a753d7e7cfc354159	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e474753d7e7cfc354444	+	
00028c2f0e--65b0e4a3ee2612733d6d5055	+	
00028c2f0e--65b0e4bcee2612733d6d53f7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e4dab7b7c6421343997a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e4edee2612733d6d5977	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e4f5753d7e7cfc355529	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e4f8f0884d28d1768218	+	
00028c2f0e--65b0e4feb7b7c64213439f05	+	
00028c2f0e--65b0e5096ee6ba6cf963625d	+	
00028c2f0e--65b0e516b7b7c6421343a1df	+	
00028c2f0e--65b0e51bee2612733d6d5e56	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e533f0884d28d1768873	+	
00028c2f0e--65b0e543acc1b67a2f774a44	+	
00028c2f0e--65b0e54f6ee6ba6cf9636b22	+	
00028c2f0e--65b0e557b7b7c6421343a9cc	+	
00028c2f0e--65b0e560b7b7c6421343aa9b	+	
00028c2f0e--65b0e56b753d7e7cfc3563aa	+	
00028c2f0e--65b0e5756ee6ba6cf9636f78	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e586acc1b67a2f7751fc	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e588b7b7c6421343afaa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e58f753d7e7cfc356789	+	
00028c2f0e--65b0e5996ee6ba6cf9637339	+	
00028c2f0e--65b0e5adacc1b67a2f775661	+	
00028c2f0e--65b0e624b7b7c6421343c2f6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e628acc1b67a2f77675e	+	
00028c2f0e--65b0e633ee2612733d6d7ee2	+	
00028c2f0e--65b0e64eb7b7c6421343c83b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e657f0884d28d176a959	+	
00028c2f0e--65b0e6686ee6ba6cf9638da6	+	
00028c2f0e--65b0e681753d7e7cfc358940	+	
00028c2f0e--65b0e6b5acc1b67a2f777a6a	+	
00028c2f0e--65b0e6beee2612733d6d8fdb	+	
00028c2f0e--65b0e6bff0884d28d176b4ee	+	
00028c2f0e--65b0e6d0ee2612733d6d91f4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e6ef6ee6ba6cf9639d3e	+	
00028c2f0e--65b0e6f2753d7e7cfc359684	+	
00028c2f0e--65b0e721b7b7c6421343dfa1	+	
00028c2f0e--65b0e727b7b7c6421343e01d	+	
00028c2f0e--65b0e753f0884d28d176c47b	+	
00028c2f0e--65b0e7846ee6ba6cf963accd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e786753d7e7cfc35a4f3	+	
00028c2f0e--65b0e795f0884d28d176cb28	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f0e--65b0e79ef0884d28d176cc12	+	
