ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9239--65bbfeee273ade4c3d973b93	+	
00028c9239--65bbfef25140ac16b304ff89	+	
00028c9239--65bbff00273ade4c3d973ca4	+	
00028c9239--65bbff09156fa003ebebd516	+	
00028c9239--65bbff0b7e61f1055b11cdc5	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bbff0d7e61f1055b11cde1	+	
00028c9239--65bbff0f156fa003ebebd57f	+	
00028c9239--65bbff18156fa003ebebd641	+	
00028c9239--65bbff1c5140ac16b305024c	+	
00028c9239--65bbff237e61f1055b11cf4b	+	
00028c9239--65bbff37273ade4c3d974051	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bbff4f5140ac16b3050507	+	
00028c9239--65bbff555140ac16b3050574	+	
00028c9239--65bbff747e61f1055b11d41d	+	
00028c9239--65bbff807e61f1055b11d48e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bbffb25140ac16b3050bbb	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bbffb75140ac16b3050bea	+	
00028c9239--65bbffbd7e61f1055b11df7e	+	
00028c9239--65bbffc7543cd35382cc71f8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bbffd3273ade4c3d97496a	+	
00028c9239--65bbffd35140ac16b3050d95	+	
00028c9239--65bbffe6273ade4c3d974a94	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bbffed156fa003ebebe269	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bbfff5543cd35382cc7448	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc003f543cd35382cc7907	+	
00028c9239--65bc0042273ade4c3d975071	+	
00028c9239--65bc004e273ade4c3d975161	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc00555140ac16b305166c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc005a156fa003ebebe968	+	
00028c9239--65bc006e543cd35382cc7c6c	+	
00028c9239--65bc006f156fa003ebebea6d	+	
00028c9239--65bc00737e61f1055b11eb3a	+	
00028c9239--65bc00845140ac16b30518fc	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc0096273ade4c3d975541	+	
00028c9239--65bc00b25140ac16b3051aeb	+	
00028c9239--65bc00c4273ade4c3d9757d4	+	
00028c9239--65bc00db156fa003ebebf166	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc00dc273ade4c3d9758d1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc01087e61f1055b11f429	+	
00028c9239--65bc0109156fa003ebebf3df	+	
00028c9239--65bc011b7e61f1055b11f52f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc012a156fa003ebebf559	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc0139273ade4c3d975d73	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc014a543cd35382cc8959	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc017d543cd35382cc8d05	+	
00028c9239--65bc018c156fa003ebebfb08	+	
00028c9239--65bc01987e61f1055b11fbd9	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc01c27e61f1055b11fddf	+	
00028c9239--65bc01d55140ac16b3052b47	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc01d6273ade4c3d9766b3	+	
00028c9239--65bc01f4156fa003ebec00a8	+	
00028c9239--65bc01f9156fa003ebec00d1	+	
00028c9239--65bc02045140ac16b3052d9b	+	
00028c9239--65bc0205273ade4c3d9768f3	+	
00028c9239--65bc02055140ac16b3052da2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc0211543cd35382cc94c1	+	
00028c9239--65bc021b273ade4c3d976a0c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc0231156fa003ebec043b	+	
00028c9239--65bc0234543cd35382cc968b	+	
00028c9239--65bc0256156fa003ebec06e9	+	
00028c9239--65bc02947e61f1055b120ba4	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc029f5140ac16b3053901	+	
00028c9239--65bc02a6156fa003ebec0c95	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9239--65bc02b67e61f1055b120ed1	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
