INPUT:image	OUTPUT:result	OUTPUT:first_answer	GOLDEN:result	GOLDEN:first_answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://i.ibb.co/VB09Q1b/2821596350-208812-paludosa-easy.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	59db57a7-433e-4e50-ac27-876af37b494d	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/hyZfvX3/2238447704-91235-emetica-hard-wrong.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	df32e64e-645f-4cb4-a881-c8ca7cb9d5b2	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/1bmTZ5m/2238330932-309495-rosea-hard-corr.jpg	emetica	"""emetica"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	3db0dfde-751b-4e88-8fde-67449fa0a1c9	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/pZfqcJw/2238574628-36357-emetica-hard-corr.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	aa994968-3e00-4fad-8eca-165d03eeb795	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/5BWdcbd/2237962603-4766-rosea-hard-corr.jpg	emetica	"""emetica"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	c47b0b84-8194-47e3-94fa-d0355098c73a	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/vsqw6Ly/2864911359-138239-emetica-hard-wrong.jpg	paludosa	"""paludosa"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	cf50bee8-1789-435d-ab18-1528626367db	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/YTrDDjL/2874314491-289674-rosea-easy.jpg	rosea	"""rosea"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	060e1f18-f47f-4d07-b4e6-7343041899f9	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/s5mXssj/2238496763-22313-rosea-easy.jpg	rosea	"""rosea"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	afb6b005-f444-4c92-b361-e2f79692731e	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/Gp7WQ5L/2816360336-282386-rosea-easy.jpg	paludosa	"""paludosa"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	544c4307-d0ad-4752-8c7c-cfdd102a94b9	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/QknR0FN/2238495908-22170-paludosa-easy.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	1ef1bf4a-2984-4b71-b572-bedda57b7a9d	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/z2qKPFf/2821605349-134687-paludosa-hard-wrong.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	ec7d0c83-38ea-4222-b626-b9b5193aae24	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/68ZVJKQ/2238178273-8903-paludosa-hard-corr.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	7ba8f6dd-8249-4a26-a432-4750a4a16736	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/Jq5Zgwp/2294394889-115688-paludosa-easy.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	360efc91-f01c-430b-9b66-8deafc4f4858	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/L9YLkL4/2238481194-93992-emetica-easy.jpg	emetica	"""emetica"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	b73dc531-c390-401d-85da-62fd0b67de91	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/qpgDd88/2816367346-282515-paludosa-hard-wrong.jpg	emetica	"""emetica"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	0ca0223a-7030-484c-8376-b0f13d51d102	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/NNgG9Qm/2238191212-307191-emetica-hard-corr.jpg	paludosa	"""paludosa"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	d288b8f7-c30b-4a32-926b-157b714585e8	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/WGkqSM2/2238557145-181398-rosea-easy.jpg	rosea	"""rosea"""	rosea				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	849cf716-4de4-4e3a-bd56-1436f19e90bc	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/F3P8zQ5/2421822085-193341-emetica-easy.jpg	paludosa	"""paludosa"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	cc5e7622-6140-457f-8712-c2f4d1f066fb	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/VjrXzDc/2421822955-193501-emetica-easy.jpg	paludosa	"""paludosa"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	20a8a6d8-495a-4334-a14d-aefcee77981f	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/D8y2cVr/2351007404-116814-paludosa-hard-wrong.jpg	paludosa	"""paludosa"""	paludosa				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	44974749-d52d-42d2-bd51-02e9c2606d4d	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
https://i.ibb.co/tKfxBPR/2238525451-249039-emetica-hard-corr.jpg	rosea	"""rosea"""	emetica				https://platform.toloka.ai/task/42766929/00028c9251--65bbe306273ade4c3d94fa25	d54f3365-1eec-4a5e-91eb-1a0ae137d797	00028c9251--65bbe306273ade4c3d94fa25	a8ef8bd49ebb24df8e2e6ade145fc4b3	SUBMITTED	2024-02-01T18:29:26.805		
