ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
0002892867--659949006f27ca0f39565f96	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--659949073acd552d1ed35200	+	
0002892867--6599490d6f27ca0f395660ad	+	
0002892867--659949103acd552d1ed35321	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--659949112e91040508195094	+	
0002892867--659949132e910405081951d3	+	
0002892867--65994915c02a527dabf6ff8c	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--6599491dc02a527dabf6fff1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--6599492c17936c150e1dffd3	+	
0002892867--659949373acd552d1ed35699	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--659949376f27ca0f395663d3	+	
0002892867--6599494117936c150e1e0222	+	
0002892867--6599494217936c150e1e0249	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994947c02a527dabf702a2	+	
0002892867--659949492e910405081957e5	+	
0002892867--6599494b17936c150e1e02ec	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994952c02a527dabf70378	+	
0002892867--659949596f27ca0f39566691	+	
0002892867--6599496617936c150e1e04ed	+	
0002892867--659949712e91040508195a64	+	
0002892867--6599497b17936c150e1e062b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--6599497dc02a527dabf706f1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--659949aac02a527dabf70a12	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--659949af6f27ca0f39566cec	+	
0002892867--659949b16f27ca0f39566d1f	+	
0002892867--659949d12e910405081961a9	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--659949d617936c150e1e0c4e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--659949ebc02a527dabf712c8	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--659949f83acd552d1ed36452	+	
0002892867--65994a156f27ca0f39567387	+	
0002892867--65994a176f27ca0f395673c6	+	
0002892867--65994a2217936c150e1e126c	+	
0002892867--65994a2b2e91040508196850	+	
0002892867--65994a2dc02a527dabf718fb	+	
0002892867--65994a333acd552d1ed3683e	+	
0002892867--65994a37c02a527dabf7198e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994a3f3acd552d1ed368c3	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994a416f27ca0f39567707	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994a436f27ca0f39567719	+	
0002892867--65994a4e17936c150e1e165d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994a5f6f27ca0f39567963	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994a692e91040508196c84	+	
0002892867--65994a703acd552d1ed36cf2	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994a7c6f27ca0f39567bf0	+	
0002892867--65994a846f27ca0f39567c46	+	
0002892867--65994a8817936c150e1e1aee	+	
0002892867--65994a8a3acd552d1ed36fad	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994a8d6f27ca0f39567cd6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994a903acd552d1ed36fd2	+	
0002892867--65994a97c02a527dabf72004	+	
0002892867--65994a992e91040508196fbd	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994aa0c02a527dabf720e6	+	
0002892867--65994aa3c02a527dabf7210f	+	
0002892867--65994aa46f27ca0f39567e55	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994ab617936c150e1e1e01	+	
0002892867--65994abc3acd552d1ed37327	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994ac217936c150e1e1ed0	+	
0002892867--65994ace3acd552d1ed3746b	+	
0002892867--65994adc2e910405081974a4	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994adf6f27ca0f3956838c	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994ae8c02a527dabf7267d	+	
0002892867--65994aee17936c150e1e223a	+	
0002892867--65994afdc02a527dabf72818	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994b056f27ca0f39568614	+	
0002892867--65994b093acd552d1ed3790a	+	
0002892867--65994b0a3acd552d1ed37915	+	
0002892867--65994b0b3acd552d1ed3791e	+	
0002892867--65994b223acd552d1ed37aec	+	
0002892867--65994b246f27ca0f39568839	+	
0002892867--65994b273acd552d1ed37b41	+	
0002892867--65994b3f6f27ca0f39568a4d	+	
0002892867--65994b492e91040508197c39	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994b5e17936c150e1e29fc	+	
0002892867--65994b686f27ca0f39568dca	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994b723acd552d1ed380b3	+	
0002892867--65994b736f27ca0f39568e96	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994b742e91040508198037	+	
0002892867--65994b74c02a527dabf7317b	+	
0002892867--65994b7b2e910405081980d0	+	
0002892867--65994b823acd552d1ed38219	+	
0002892867--65994b8d17936c150e1e2e5b	+	
0002892867--65994ba46f27ca0f39569536	+	
0002892867--65994c322e91040508198dad	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994c3b6f27ca0f3956a260	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994c3c6f27ca0f3956a269	+	
0002892867--65994c6b2e9104050819920f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994ca36f27ca0f3956ae52	+	
0002892867--65994ca52e910405081996a0	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994cd317936c150e1e481e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994ce36f27ca0f3956b2bf	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994d61c02a527dabf765aa	+	
0002892867--65994d993acd552d1ed3b971	+	
0002892867--65994dda2e9104050819b3ea	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--65994e123acd552d1ed3c25c	+	
0002892867--65994e19c02a527dabf77883	+	
0002892867--65994e382e9104050819ba97	+	
0002892867--65994f6bc02a527dabf7946d	+	
0002892867--65994f786f27ca0f3956edbe	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
0002892867--6599502bc02a527dabf7ad0d	+	
0002892867--659950a93acd552d1ed3fca8	+	
