ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9237--65bbe8677e61f1055b1022f6	+	
00028c9237--65bbf391273ade4c3d964f1c	+	
00028c9237--65bbf3d8273ade4c3d965433	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf40d273ade4c3d96586b	+	
00028c9237--65bbf40d543cd35382cb94e4	+	
00028c9237--65bbf414543cd35382cb956e	+	
00028c9237--65bbf419543cd35382cb95ea	+	
00028c9237--65bbf41a5140ac16b3042ab8	+	
00028c9237--65bbf425156fa003ebeb0d32	+	
00028c9237--65bbf426273ade4c3d965a33	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf4277e61f1055b1109b7	+	
00028c9237--65bbf4277e61f1055b1109be	+	
00028c9237--65bbf4887e61f1055b111203	+	
00028c9237--65bbf4965140ac16b30433f0	+	
00028c9237--65bbf4ec156fa003ebeb1d0f	+	
00028c9237--65bbf50d5140ac16b3043ded	+	
00028c9237--65bbf526156fa003ebeb2187	+	
00028c9237--65bbf53f543cd35382cbad6a	+	
00028c9237--65bbf5425140ac16b304418a	+	
00028c9237--65bbf546543cd35382cbae23	+	
00028c9237--65bbf5607e61f1055b1121b1	+	
00028c9237--65bbf59b5140ac16b30448fd	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf5e4273ade4c3d968509	+	
00028c9237--65bbf607273ade4c3d96877d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf62d273ade4c3d968a5b	+	
00028c9237--65bbf6695140ac16b30458e7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf66b273ade4c3d968df0	+	
00028c9237--65bbf6cd7e61f1055b113b81	+	
00028c9237--65bbf6ea7e61f1055b113dce	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf6eb156fa003ebeb4126	+	
00028c9237--65bbf6ec543cd35382cbcb3b	+	
00028c9237--65bbf7187e61f1055b11413c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9237--65bbf723273ade4c3d969c26	+	
00028c9237--65bbf745156fa003ebeb4806	+	
