ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c2f6d--65b0e2026ee6ba6cf9630628	+	
00028c2f6d--65b0e212753d7e7cfc34fa15	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e2546ee6ba6cf9630e5e	+	
00028c2f6d--65b0e25c753d7e7cfc35031b	+	
00028c2f6d--65b0e25d753d7e7cfc350336	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e275acc1b67a2f76f514	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e287acc1b67a2f76f78f	+	
00028c2f6d--65b0e290f0884d28d1763ca5	+	
00028c2f6d--65b0e2aaf0884d28d1763fc6	+	
00028c2f6d--65b0e2bf6ee6ba6cf9631a84	+	
00028c2f6d--65b0e2c2acc1b67a2f76fed6	+	
00028c2f6d--65b0e2c9b7b7c642134359eb	+	
00028c2f6d--65b0e2cfee2612733d6d1b3e	+	
00028c2f6d--65b0e2d5753d7e7cfc35113b	+	
00028c2f6d--65b0e2e3ee2612733d6d1d66	+	
00028c2f6d--65b0e2f5753d7e7cfc351527	+	
00028c2f6d--65b0e306b7b7c642134360c6	+	
00028c2f6d--65b0e30cb7b7c642134361a0	+	
00028c2f6d--65b0e310ee2612733d6d2292	+	
00028c2f6d--65b0e325b7b7c642134364bb	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e32cb7b7c64213436588	+	
00028c2f6d--65b0e335753d7e7cfc351cad	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e377b7b7c64213436e24	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e38aee2612733d6d30e5	+	
00028c2f6d--65b0e3926ee6ba6cf963343a	+	
00028c2f6d--65b0e398b7b7c642134371f8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e39bee2612733d6d32e0	+	
00028c2f6d--65b0e3aab7b7c64213437416	+	
00028c2f6d--65b0e3b0ee2612733d6d3519	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e3c56ee6ba6cf9633a2b	+	
00028c2f6d--65b0e3d6acc1b67a2f772043	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e3d7b7b7c6421343795b	+	
00028c2f6d--65b0e3ecf0884d28d176646d	+	
00028c2f6d--65b0e40af0884d28d17667e9	+	
00028c2f6d--65b0e451acc1b67a2f772d18	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e453acc1b67a2f772d61	+	
00028c2f6d--65b0e454ee2612733d6d483a	+	
00028c2f6d--65b0e466753d7e7cfc3542a8	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e46df0884d28d17671e4	+	
00028c2f6d--65b0e47dacc1b67a2f7731e6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e48f6ee6ba6cf96351c4	+	
00028c2f6d--65b0e49dacc1b67a2f773573	+	
00028c2f6d--65b0e4ac6ee6ba6cf96354ea	+	
00028c2f6d--65b0e4cc753d7e7cfc354ff1	+	
00028c2f6d--65b0e4dcf0884d28d1767ebc	+	
00028c2f6d--65b0e5296ee6ba6cf963663a	+	
00028c2f6d--65b0e53e753d7e7cfc355dfb	+	
00028c2f6d--65b0e5486ee6ba6cf9636a4f	+	
00028c2f6d--65b0e54c753d7e7cfc355f31	+	
00028c2f6d--65b0e555f0884d28d1768c9e	+	
00028c2f6d--65b0e58dacc1b67a2f775296	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e59f753d7e7cfc3569b4	+	
00028c2f6d--65b0e5af753d7e7cfc356d1c	+	
00028c2f6d--65b0e5b36ee6ba6cf96376bf	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e5b3753d7e7cfc356daa	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e5daacc1b67a2f775b83	+	
00028c2f6d--65b0e610753d7e7cfc357a0a	+	
00028c2f6d--65b0e6126ee6ba6cf9638339	+	
00028c2f6d--65b0e62d6ee6ba6cf96386f4	+	
00028c2f6d--65b0e62ff0884d28d176a530	+	
00028c2f6d--65b0e663acc1b67a2f776f24	+	
00028c2f6d--65b0e685753d7e7cfc358a1a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e6986ee6ba6cf96392c6	+	
00028c2f6d--65b0e6abee2612733d6d8da6	+	
00028c2f6d--65b0e6b3753d7e7cfc358f75	+	
00028c2f6d--65b0e6b4ee2612733d6d8e84	+	
00028c2f6d--65b0e6cbf0884d28d176b668	+	
00028c2f6d--65b0e6ecee2612733d6d9510	+	
00028c2f6d--65b0e702acc1b67a2f7782a3	+	
00028c2f6d--65b0e70dee2612733d6d996f	+	
00028c2f6d--65b0e7146ee6ba6cf963a109	+	
00028c2f6d--65b0e7196ee6ba6cf963a168	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e730acc1b67a2f77879f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e735753d7e7cfc359e1b	+	
00028c2f6d--65b0e762acc1b67a2f778cdb	+	
00028c2f6d--65b0e762f0884d28d176c600	+	
00028c2f6d--65b0e76fee2612733d6da2b4	+	
00028c2f6d--65b0e7756ee6ba6cf963ab63	+	
00028c2f6d--65b0e77e6ee6ba6cf963ac31	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e77eb7b7c6421343e7c0	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e781ee2612733d6da49d	+	
00028c2f6d--65b0e788acc1b67a2f77909e	+	
00028c2f6d--65b0e793acc1b67a2f779187	+	
00028c2f6d--65b0e7d4b7b7c6421343f104	+	
00028c2f6d--65b0e7dcacc1b67a2f779926	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c2f6d--65b0e7df6ee6ba6cf963b555	+	
00028c2f6d--65b0e82bacc1b67a2f77a0f8	+	
