ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
000289287c--659956e06f27ca0f39578e00	+	
000289287c--659956e36f27ca0f39578e44	+	
000289287c--659956f5c02a527dabf84939	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659956f7c02a527dabf8495f	+	
000289287c--659956fb17936c150e1f32d1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659956fe17936c150e1f32fc	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659956ff17936c150e1f3331	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659957012e910405081a759f	+	
000289287c--6599571317936c150e1f3552	+	
000289287c--65995713c02a527dabf84c42	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599571e2e910405081a77d7	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659957236f27ca0f3957929d	+	
000289287c--65995723c02a527dabf84cfc	+	
000289287c--6599572417936c150e1f3726	+	
000289287c--65995726c02a527dabf84d46	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--65995732c02a527dabf84de2	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659957336f27ca0f3957936a	+	
000289287c--6599573d2e910405081a7995	+	
000289287c--65995747c02a527dabf851b7	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599575917936c150e1f3ad7	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599575a3acd552d1ed490ed	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599577a3acd552d1ed4931f	+	
000289287c--6599578117936c150e1f3d9e	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599579317936c150e1f3ec7	+	
000289287c--659957966f27ca0f39579cb7	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599579a2e910405081a8120	+	
000289287c--659957b3c02a527dabf85e96	+	
000289287c--659957b96f27ca0f39579fb7	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659957bc3acd552d1ed49781	+	
000289287c--659957c42e910405081a845d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659957c62e910405081a847c	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659957cbc02a527dabf85fc1	+	
000289287c--659957cf2e910405081a84d8	+	
000289287c--659957d0c02a527dabf8607d	+	
000289287c--659957d117936c150e1f4271	+	
000289287c--659957d517936c150e1f42c3	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659957d6c02a527dabf86126	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659957d73acd552d1ed4992b	+	
000289287c--659957d917936c150e1f4320	+	
000289287c--659957fac02a527dabf86484	+	
000289287c--65995808c02a527dabf865b0	+	
000289287c--6599580dc02a527dabf86639	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659958172e910405081a8a80	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659958286f27ca0f3957a747	+	
000289287c--6599582e2e910405081a8c1b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599583ec02a527dabf86b53	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--65995842c02a527dabf86b7c	+	
000289287c--65995848c02a527dabf86bec	+	
000289287c--6599584d17936c150e1f4aee	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659958576f27ca0f3957aa71	+	
000289287c--6599585bc02a527dabf86da8	+	
000289287c--6599585dc02a527dabf86db9	+	
000289287c--659958656f27ca0f3957abc3	+	
000289287c--659958686f27ca0f3957abd2	+	
000289287c--65995885c02a527dabf87434	+	
000289287c--6599588a6f27ca0f3957ae7a	+	
000289287c--659958943acd552d1ed4abef	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599589b3acd552d1ed4ace1	+	
000289287c--659958b22e910405081a954f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659958b717936c150e1f528a	+	
000289287c--659958b73acd552d1ed4af1f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659958c117936c150e1f534c	+	
000289287c--659958c23acd552d1ed4b000	+	
000289287c--659958c917936c150e1f53d1	+	
000289287c--659958e3c02a527dabf87bdc	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659958eac02a527dabf87c76	+	
000289287c--659958ed2e910405081a9983	+	
000289287c--659958f62e910405081a9a51	+	
000289287c--659958ff17936c150e1f587f	+	
000289287c--6599591017936c150e1f5a39	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659959126f27ca0f3957b927	+	
000289287c--65995916c02a527dabf87fd1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599591b3acd552d1ed4b6f0	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599591e6f27ca0f3957b9cd	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--6599592317936c150e1f5b69	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--65995926c02a527dabf88079	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659959353acd552d1ed4b8e1	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--65995942c02a527dabf88314	+	
000289287c--6599594f17936c150e1f5fd5	+	
000289287c--659959522e910405081aa291	+	
000289287c--6599595d6f27ca0f3957bf9a	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--659959683acd552d1ed4bd47	+	
000289287c--6599597bc02a527dabf886c2	+	
000289287c--659959d03acd552d1ed4c469	+	
000289287c--659959d117936c150e1f6e75	+	
000289287c--65995a033acd552d1ed4c81f	+	
000289287c--65995a7b3acd552d1ed4d3f9	+	
000289287c--65995abb2e910405081abde4	+	
000289287c--65995abc3acd552d1ed4d9b7	+	
000289287c--65995b2c3acd552d1ed4e256	+	
000289287c--65995b2ec02a527dabf8a8d3	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
000289287c--65995b6f2e910405081acae5	+	
000289287c--65995b766f27ca0f3957e59d	+	
000289287c--65995b792e910405081acb79	+	
000289287c--65995b7e2e910405081acbc5	+	
000289287c--65995c0517936c150e1fac1a	+	
