ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028b9bf7--659fb1238db9654e90173e57	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1278dfe8b62f2705c34	+	
00028b9bf7--659fb13114c7c70ebc07b4d6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1358dfe8b62f2705ea0	+	
00028b9bf7--659fb1378dfe8b62f2705eec	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb13b7cff5e71c50d341f	+	
00028b9bf7--659fb1488db9654e901744e4	+	
00028b9bf7--659fb14c14c7c70ebc07b82b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1507cff5e71c50d36b3	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1558dfe8b62f2706470	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb16b7cff5e71c50d3c4b	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb17514c7c70ebc07c002	+	
00028b9bf7--659fb17d8db9654e90174ea0	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb19e8dfe8b62f27072fd	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1b17cff5e71c50d4c50	+	
00028b9bf7--659fb1b314c7c70ebc07ce4c	+	
00028b9bf7--659fb1bb8dfe8b62f2707ab2	+	
00028b9bf7--659fb1bc8db9654e90175d92	+	
00028b9bf7--659fb1c2b062d60448a27d4f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1c47cff5e71c50d510a	+	
00028b9bf7--659fb1c68db9654e901760c6	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1c97cff5e71c50d526f	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1df14c7c70ebc07d930	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
00028b9bf7--659fb1f48dfe8b62f2708b1d	-	Sorry, you had too many wrong answers. We expect at least 4 correct answers out of 10 in each task.
