ASSIGNMENT:assignment_id	ACCEPT:verdict	ACCEPT:comment
00028c9253--65bbd69f7e61f1055b0eb26d	+	
00028c9253--65bbd6a1273ade4c3d93f69a	+	
00028c9253--65bbd6b8543cd35382c94d46	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbd765273ade4c3d940778	+	
00028c9253--65bbea2b5140ac16b303679a	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbea3a543cd35382cad70d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbea4d543cd35382cad830	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbea58273ade4c3d959841	+	
00028c9253--65bbea677e61f1055b104da0	+	
00028c9253--65bbea745140ac16b3036d0d	+	
00028c9253--65bbea7a543cd35382cadb44	+	
00028c9253--65bbea98543cd35382caddca	+	
00028c9253--65bbeaa1543cd35382cade80	+	
00028c9253--65bbeaa27e61f1055b1051a6	+	
00028c9253--65bbeabb543cd35382cae056	+	
00028c9253--65bbeac05140ac16b3037208	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbead0543cd35382cae215	+	
00028c9253--65bbeade7e61f1055b1055c8	+	
00028c9253--65bbeb25273ade4c3d95a6a7	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbeb27543cd35382cae72b	+	
00028c9253--65bbeb285140ac16b30379b1	+	
00028c9253--65bbeb527e61f1055b105e3d	+	
00028c9253--65bbebb8543cd35382caf17d	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbebd1543cd35382caf33f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbebd1543cd35382caf35b	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbebd87e61f1055b106863	+	
00028c9253--65bbebdc156fa003ebea6fbf	+	
00028c9253--65bbebfc156fa003ebea7229	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbec4b7e61f1055b107170	+	
00028c9253--65bbec617e61f1055b107311	+	
00028c9253--65bbec65543cd35382cafd67	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbec697e61f1055b1073c8	+	
00028c9253--65bbec73273ade4c3d95bf5c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbec95156fa003ebea7e9e	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbec9f7e61f1055b10781f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbeca8273ade4c3d95c36c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbecc8156fa003ebea830e	+	
00028c9253--65bbecd0156fa003ebea83a6	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbecd4156fa003ebea83f2	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbecfd7e61f1055b107fd4	+	
00028c9253--65bbed0a156fa003ebea8818	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbed215140ac16b3039f59	+	
00028c9253--65bbed2a7e61f1055b108299	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbed2c7e61f1055b1082c1	+	
00028c9253--65bbed2d156fa003ebea8b1f	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbed46543cd35382cb101d	+	
00028c9253--65bbed53543cd35382cb117e	+	
00028c9253--65bbed58156fa003ebea8e4c	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
00028c9253--65bbed62543cd35382cb1292	-	Sorry, you had too many wrong answers. We expect at least 3 correct answers out of 10 in each task.
